CrimeDate,CrimeCode,CrimeTime,Location,Description,Weapon,Post,District,Neighborhood,Latitude,Longitude
2/8/14,9S,201,4500 Erdman Av,Shooting,Firearm,433,Northeastern,Orchard Ridge,39.30973,-76.56312
2/8/14,4B,3:50:00,600 W Lexington St,Agg. Assault,Knife,121,Central,University Of Maryland,39.29139,-76.62433
2/8/14,4C,6:00:00,2200 E Fayette St,Agg. Assault,Other,321,Eastern,CARE,39.29428,-76.58603
2/8/14,3CF,8:11:00,2400 Frederick Av,Robbery - Commercial,Firearm,841,Southwestern,Millhill,39.28388,-76.65512
2/8/14,3B,14:27:00,400 W Franklin St,Robbery - Street,,143,Central,Seton Hill,39.29488,-76.62206
2/8/14,3AK,18:20:00,800 N Franklintown Rd,Robbery - Street,Knife,814,Southwestern,Franklintown Road,39.2958,-76.66515
2/8/14,4B,18:57:00,3300 Reisterstown Rd,Agg. Assault,Knife,611,Northwestern,Liberty Square,39.32514,-76.65761
2/8/14,4B,19:00:00,1500 Argyle Av,Agg. Assault,Knife,123,Central,Upton,39.30133,-76.63376
2/8/14,4D,19:30:00,100 S Caroline St,Agg. Assault,Hands,212,Southeastern,Washington Hill,39.29009,-76.59712
2/8/14,3B,21:01:00,3400 Belair Rd,Robbery - Street,,432,Northeastern,Belair-Edison,39.32243,-76.57261
2/8/14,3AF,21:10:00,2900 Ailsa Av,Robbery - Street,Firearm,421,Northeastern,Lauraville,39.34772,-76.5672
2/8/14,4B,21:38:00,3100 W North Av,Agg. Assault,Knife,811,Southwestern,Walbrook,39.30902,-76.67041
2/8/14,4C,21:50:00,500 N Montford Av,Agg. Assault,Other,221,Southeastern,McElderry Park,39.29722,-76.58365
2/8/14,4D,22:00:00,3000 Spaulding Av,Agg. Assault,Hands,614,Northwestern,Central Park Heights,39.3493,-76.67314
2/7/14,4A,15:22:00,2600 W Fayette St,Agg. Assault,Firearm,842,Southwestern,Shipley Hill,39.28879,-76.65916
2/7/14,4B,6:44:00,2200 Whittier Av,Agg. Assault,Knife,732,Western,Parkview/Woodbrook,39.31596,-76.64854
2/7/14,4A,9:00:00,600 E 33Rd St,Agg. Assault,Firearm,513,Northern,Better Waverly,39.32829,-76.60813
