CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Latitude,Longitude
1/21/16,10:30:00,5A,2200 E FAYETTE ST,BURGLARY,,212,EASTERN,Butcher's Hill,39.29424,-76.58556
1/21/16,10:45:00,6J,400 HAZLETT AVE,LARCENY,,833,SOUTHWESTERN,Beechfield,39.27935,-76.698
1/21/16,19:42:00,4C,KENWOOD AV & ASHLAND AV,AGG. ASSAULT,OTHER,323,EASTERN,Madison-Eastend,39.30113,-76.5782
1/21/16,19:43:00,4F,CALVERT ST & E BALTIMORE ST,ASSAULT BY THREAT,,111,CENTRAL,Downtown,39.28964,-76.61229
1/21/16,19:50:00,3CF,1600 BANK ST,ROBBERY - COMMERCIAL,FIREARM,213,SOUTHEASTERN,Fells Point,39.28652,-76.59484
1/21/16,19:50:00,7A,1000 E LAKE AVE,AUTO THEFT,,522,NORTHERN,Lake Walker,39.36708,-76.60013
1/21/16,19:55:00,3AO,1500 EUTAW PL,ROBBERY - STREET,OTHER,132,CENTRAL,Madison Park,39.30534,-76.62811
1/21/16,20:00:00,6D,1500 ALICEANNA ST,LARCENY FROM AUTO,,213,SOUTHEASTERN,Fells Point,39.28339,-76.59612
1/21/16,20:00:00,6D,900 GREENMOUNT AVE,LARCENY FROM AUTO,,312,EASTERN,Penn-Fallsway,39.30019,-76.6069
1/21/16,20:00:00,4B,3000 ROSEDALE CT,AGG. ASSAULT,KNIFE,813,SOUTHWESTERN,Rosemont,39.30234,-76.66843
1/21/16,20:01:00,5A,1800 W NORTH AVE,BURGLARY,,731,WESTERN,Mondawmin,39.30986,-76.64747
1/21/16,7:40:00,7A,1200 DARLEY AVE,AUTO THEFT,,342,EASTERN,East Baltimore Midway,39.3163,-76.5991
1/21/16,8:00:00,5A,800 S CURLEY ST,BURGLARY,,232,SOUTHEASTERN,Canton,39.28273,-76.57484
1/21/16,8:00:00,6E,6500 HUDSON ST,LARCENY,,243,SOUTHEASTERN,Pulaski Industrial Area,39.28378,-76.53742
1/21/16,8:00:00,6D,5900 EURITH AVE,LARCENY FROM AUTO,,445,NORTHEASTERN,Cedmont,39.34486,-76.53078
1/21/16,8:30:00,6G,600 S LEHIGH ST,LARCENY,,242,SOUTHEASTERN,Greektown,39.28548,-76.55792
1/21/16,8:30:00,5B,0 E READ ST,BURGLARY,,142,CENTRAL,Mount Vernon,39.29966,-76.61464
1/21/16,8:45:00,3AK,5000 TRUESDALE AVE,ROBBERY - STREET,KNIFE,443,NORTHEASTERN,Frankford,39.31859,-76.54609
1/21/16,0:00:00,6D,,LARCENY FROM AUTO,,,,,,
1/21/16,0:00:00,6D,,LARCENY FROM AUTO,,,,,,
1/21/16,0:32:03,2A,2900 MOSHER ST,RAPE,OTHER,814,SOUTHWESTERN,Franklintown Road,39.29919,-76.66599
1/21/16,1:20:00,3AF,500 CAMBRIA ST,ROBBERY - STREET,FIREARM,913,SOUTHERN,Brooklyn,39.23623,-76.60404
1/21/16,1:20:00,3AF,500 CAMBRIA ST,ROBBERY - STREET,FIREARM,913,SOUTHERN,Brooklyn,39.23623,-76.60404
1/21/16,1:25:00,5A,2400 MCELDERRY ST,BURGLARY,,221,SOUTHEASTERN,McElderry Park,39.29767,-76.58319
1/21/16,1:32:00,4E,1700 E PRATT ST,COMMON ASSAULT,HANDS,213,SOUTHEASTERN,Fells Point,39.28924,-76.59308
1/21/16,3:30:00,7A,3400 ALTO RD,AUTO THEFT,,641,NORTHWESTERN,Hanlon-Longwood,39.31733,-76.67495
1/21/16,3:45:00,5D,2000 ORLEANS ST,BURGLARY,,321,EASTERN,CARE,39.29537,-76.58926
1/21/16,4:14:00,5D,2000 E MONUMENT ST,BURGLARY,,321,EASTERN,CARE,39.29859,-76.58838
1/21/16,4:24:00,5D,4500 EDMONDSON AVE,BURGLARY,,822,SOUTHWESTERN,Rognel Heights,39.2935,-76.69271
1/21/16,5:15:00,7A,BENTALOU ST & LAURETTA AV,AUTO THEFT,,722,WESTERN,Midtown-Edmondson,39.29414,-76.65322
1/21/16,5:18:00,7A,AUGUSTA AV & CONNECTICUT AV,AUTO THEFT,,843,SOUTHWESTERN,Irvington,39.28429,-76.68476
1/21/16,17:00:00,6J,2900 WHITTINGTON AVE,LARCENY,,831,SOUTHWESTERN,Morrell Park,39.25929,-76.65631
1/21/16,18:00:00,6D,1300 N CALVERT ST,LARCENY FROM AUTO,,141,CENTRAL,Mid-Town Belvedere,39.30475,-76.6134
1/21/16,18:15:00,3AF,2300 E FAIRMOUNT AVE,ROBBERY - STREET,FIREARM,221,SOUTHEASTERN,Patterson Place,39.29305,-76.58427
1/21/16,18:30:00,6C,2400 BELAIR RD,LARCENY,,434,NORTHEASTERN,Belair-Edison,39.31766,-76.57819
1/21/16,18:30:00,6L,1400 ALICEANNA ST,LARCENY,,213,SOUTHEASTERN,Fells Point,39.28335,-76.59804
1/21/16,19:00:00,6E,4900 GOODNOW RD,LARCENY,,443,NORTHEASTERN,Frankford,39.32679,-76.54839
